district_code,taluk_code,village_code,district_lgd_code,taluk_lgd_code,village_lgd_code,district_name_en,district_name_ta,taluk_name_en,taluk_name_ta,village_name_en,village_name_ta
11,5,1,587,5759,635117,The Nilgiris,நீலகிரி,Kundah,குந்தா,Ithalar 1,இத்தலார் 1
11,5,2,587,5759,931986,The Nilgiris,நீலகிரி,Kundah,குந்தா,Bikkatty,பிக்கட்டி
11,5,3,587,5759,635118,The Nilgiris,நீலகிரி,Kundah,குந்தா,Mulligoor,முள்ளிகூர்
11,5,4,587,5759,635121,The Nilgiris,நீலகிரி,Kundah,குந்தா,Kinnakorai,கிண்ணக்கொரை
11,5,5,587,5759,635120,The Nilgiris,நீலகிரி,Kundah,குந்தா,Mel-Kundah,மேல்குந்தா
11,5,6,587,5759,931988,The Nilgiris,நீலகிரி,Kundah,குந்தா,Kil Kundah 1,கீழ்குந்தா 1
11,5,7,587,5759,635119,The Nilgiris,நீலகிரி,Kundah,குந்தா,Balacola-1,பாலகொலா-1
11,5,10,587,5759,931984,The Nilgiris,நீலகிரி,Kundah,குந்தா,Ithalar 2,இத்தலார் 2
11,5,11,587,5759,931981,The Nilgiris,நீலகிரி,Kundah,குந்தா,Balacola 2,பாலகொலா 2
11,5,12,587,5759,931991,The Nilgiris,நீலகிரி,Kundah,குந்தா,Kil-Kundah 2,கீழ்குந்தா-2
11,6,1,587,5754,635081,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Moonnad 1,மூனனாடு 1
11,6,2,587,5754,635082,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Nelliyalam 1,நெல்லியாளம் 1
11,6,3,587,5754,635083,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Cherangode1,சேரங்கோடு - 1
11,6,4,587,5754,635080,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Erumad 1,எருமாடு 1
11,6,5,587,5754,932046,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Nelliyalam-2,நெல்லியாளம் - 2
11,6,7,587,5754,932041,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Moonad-2,மூனனாடு - 2
11,6,8,587,5754,932033,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Cherangode-2,சேரங்கோடு - 2
11,6,11,587,5754,932037,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Erumad-2,எருமாடு - 2
11,6,12,587,5754,932045,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Nelliyalam-1ca,நெல்லியாளம் - 1 - சீ ஏ
11,6,14,587,5754,932131,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Nelliyalam-1janmam,நெல்லியாளம் - 1 - ஜென்மம்
11,6,15,587,5754,932048,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Nelliyalam-2jenman,நெல்லியாளம் - 2 ஜென்மம்
11,6,18,587,5754,932030,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Cherangode-1jenmam,சேரங்கோடு - 1 ஜென்மம்
11,6,19,587,5754,932036,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Cherangode-2jenmam,சேரங்கோடு - 2 ஜென்மம்
11,6,24,587,5754,932039,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Moonanad-1jenmam,மூனனாடு - 1 - ஜென்மம்
11,6,25,587,5754,932044,The Nilgiris,நீலகிரி,Pandalur,பந்தலுார்,Moonanad-2jenmam,மூனனாடு - 2 ஜென்மம்
