village_lgd_code,district_lgd_code,taluk_lgd_code,village_name_en,elevation_mean_m,elevation_min_m,elevation_max_m,slope_mean_deg,slope_max_deg,rainfall_7d_p95_mm,rainfall_3d_p95_mm,rainfall_1d_max_mm,rainfall_annual_mean_mm,elevation_range_m,conditional_strict_linked_event_count,experimental_hazard_index_0_100,taluk_name_en,label_s,pu_status,terrain_feature_source,rainfall_feature_source,event_evidence_source,boundary_source
635102,587,5757,Nandhipuram,1309.2286986439992,701.0,1668.0,24.843672926769724,61.84562249232509,96.92115503549576,47.425384908914566,111.22907257080078,1267.035819894448,967.0,0,23.62215446294121,Kotagiri,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635103,587,5757,Aracode,1209.415198369891,769.0,1782.0,23.28072842417058,64.20039531193117,96.92115503549576,47.425384908914566,111.22907257080078,1267.035819894448,1013.0,0,21.682934113065212,Kotagiri,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635104,587,5757,Kokodu,953.6471306471308,839.0,1072.0,18.694654748319607,36.75309044593754,96.92115503549576,47.425384908914566,111.22907257080078,1267.035819894448,233.0,0,16.327933556008222,Kotagiri,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635105,587,5757,Kadinamala,1313.7578271759548,901.0,1680.0,20.795125795440807,63.68286802420194,96.92115503549576,47.425384908914566,111.22907257080078,1267.035819894448,779.0,0,20.974950282786725,Kotagiri,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635106,587,5757,Kengarai 1,1298.3913673500847,339.0,1981.0,21.222161349352604,78.06817839385165,96.92115503549576,47.425384908914566,111.22907257080078,1267.035819894448,1642.0,0,21.119705166960763,Kotagiri,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635107,587,5757,Konavakorai-I,1412.620267283581,395.0,1997.0,18.659399683887056,71.10465248583938,96.92115503549576,47.425384908914566,111.22907257080078,1267.035819894448,1602.0,15,38.87866211924904,Kotagiri,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635108,587,5757,Naduhatty-1,1907.7534350141343,1512.0,2240.0,17.419044612486775,58.657708869816005,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,728.0,15,48.25131449518166,Kotagiri,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635109,587,5757,Kotagiri -1,1643.2280768139249,1248.0,1877.0,15.707966405077196,58.370961545248015,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,629.0,2,33.59951825425937,Kotagiri,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635110,587,5757,Jackanarai,1204.5480971929435,539.0,1776.0,26.55553482814376,71.30677563031644,188.54495108127594,84.89961370453238,312.4863586425781,1977.5867171496152,1237.0,22,66.20527345280583,Kotagiri,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635111,587,5758,Yedapally,1756.603471842537,997.0,2119.0,22.082229087510903,76.62066654109869,104.94122713804245,48.02582228183746,240.5126953125,1428.6806292949245,1122.0,5,39.62504179629584,Coonoor,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635112,587,5758,Burliar,1133.6636862551643,512.0,1972.0,29.19896857222449,78.46535530045936,104.94122713804245,48.02582228183746,240.5126953125,1428.6806292949245,1460.0,41,51.65830778903372,Coonoor,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635113,587,5758,Coonoor Rural,1695.9290168502057,971.0,2108.0,21.74019239762628,70.43683722846973,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,1137.0,36,54.77953136402519,Coonoor,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635114,587,5758,Melur 1,1500.767135675719,698.0,1958.0,20.649320629665077,77.21734061412208,104.94122713804245,48.02582228183746,240.5126953125,1428.6806292949245,1260.0,1,29.06075605500657,Coonoor,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635117,587,5759,Ithalar 1,2035.9217326837531,1817.0,2276.0,15.995207860567715,46.37747036318738,104.94122713804245,48.02582228183746,240.5126953125,1428.6806292949245,459.0,42,51.1966417215826,Kundah,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635118,587,5759,Mulligoor,2227.997147631363,1336.0,2625.0,17.180916147728308,73.26058569083052,109.5746515095234,58.942647099494934,139.58917236328125,1711.5698212984366,1289.0,31,52.84459419181584,Kundah,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635119,587,5759,Balacola-1,1874.670351008215,1105.0,2264.0,18.947129469295785,76.71701491577612,104.94122713804245,48.02582228183746,240.5126953125,1428.6806292949245,1159.0,27,48.84881651142474,Kundah,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635120,587,5759,Mel-Kundah,1991.9930031250865,1266.0,2421.0,23.284147838218068,74.53346010099155,109.5746515095234,58.942647099494934,139.58917236328125,1711.5698212984366,1155.0,15,50.15823859963989,Kundah,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635121,587,5759,Kinnakorai,1607.4081450653982,1057.0,2093.0,27.16847668636226,72.21925896613841,104.94122713804245,48.02582228183746,240.5126953125,1428.6806292949245,1036.0,3,38.95963076400986,Kundah,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
