village_lgd_code,district_lgd_code,taluk_lgd_code,village_name_en,elevation_mean_m,slope_mean_deg,historical_rainfall_7d_p95_mm,conditional_strict_linked_event_count,elevation_mean_minmax,slope_mean_minmax,terrain_component,rainfall_7d_p95_minmax,conditional_event_evidence_minmax,experimental_hazard_index_0_100,rainfall_feature_source,terrain_feature_source,event_evidence_source,event_evidence_qualification,index_method_version
635102,587,5757,Nandhipuram,1309.2286986439992,24.843672926769724,96.92115503549576,0,0.5150820178029276,0.8347553800794275,0.6749186989411775,0.0,0.0,23.62215446294121,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635103,587,5757,Aracode,1209.415198369891,23.28072842417058,96.92115503549576,0,0.4635692285793651,0.7754555778815044,0.6195124032304348,0.0,0.0,21.682934113065215,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635104,587,5757,Kokodu,953.6471306471308,18.694654748319607,96.92115503549576,0,0.33156978435049556,0.6014549902785459,0.4665123873145207,0.0,0.0,16.327933556008222,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635105,587,5757,Kadinamala,1313.7578271759548,20.795125795440807,96.92115503549576,0,0.5174194575559905,0.6811491300318224,0.5992842937939065,0.0,0.0,20.974950282786725,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635106,587,5757,Kengarai 1,1298.3913673500847,21.222161349352604,96.92115503549576,0,0.509488975166849,0.6973513200880517,0.6034201476274503,0.0,0.0,21.119705166960763,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635107,587,5757,Konavakorai-I,1412.620267283581,18.659399683887056,96.92115503549576,15,0.5684414137583648,0.6001173750632591,0.584279394410812,0.0,0.7371553325948247,38.878662119249036,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635108,587,5757,Naduhatty-1,1907.7534350141343,17.419044612486775,121.25839281082153,15,0.8239748880564806,0.5530569642381078,0.6885159261472942,0.14310934412889392,0.7371553325948247,48.25131449518166,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635109,587,5757,Kotagiri -1,1643.2280768139249,15.707966405077196,121.25839281082153,2,0.6874558902873031,0.4881368093152503,0.5877963498012767,0.14310934412889392,0.29209088984235726,33.59951825425937,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635110,587,5757,Jackanarai,1204.5480971929435,26.55553482814376,188.54495108127594,22,0.4610573643889567,0.8997052691975804,0.6803813167932686,0.5387719625275194,0.8336419545576258,66.20527345280583,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635111,587,5758,Yedapally,1756.603471842537,22.082229087510903,104.94122713804245,5,0.7459678431915538,0.7299832188309612,0.7379755310112575,0.0471601284031311,0.4763797229910634,39.62504179629584,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635112,587,5758,Burliar,1133.6636862551643,29.19896857222449,104.94122713804245,41,0.4244746004357182,1.0,0.7122373002178591,0.0471601284031311,0.9937438858113363,51.65830778903372,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635113,587,5758,Coonoor Rural,1695.9290168502057,21.74019239762628,121.25839281082153,36,0.7146543394802202,0.7170059774632346,0.7158301584717274,0.14310934412889392,0.9600440820943593,54.77953136402519,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635114,587,5758,Melur 1,1500.767135675719,20.649320629665077,104.94122713804245,1,0.6139331662741231,0.6756171245923729,0.644775145433248,0.0471601284031311,0.18428883314870617,29.060756055006575,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635117,587,5759,Ithalar 1,2035.9217326837531,15.995207860567715,104.94122713804245,42,0.8901213159932487,0.4990350603186002,0.6945781881559244,0.0471601284031311,1.0,51.1966417215826,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635118,587,5759,Mulligoor,2227.997147631363,17.180916147728308,109.5746515095234,31,0.9892495936115333,0.5440221131385394,0.7666358533750364,0.07440587950253236,0.9214441657435309,52.844594191815844,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635119,587,5759,Balacola-1,1874.670351008215,18.947129469295785,104.94122713804245,27,0.8069010260179562,0.6110341538310363,0.7089675899244963,0.0471601284031311,0.8859418291176852,48.848816511424744,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635120,587,5759,Mel-Kundah,1991.9930031250865,23.284147838218068,109.5746515095234,15,0.8674501204094838,0.7755853141429723,0.821517717276228,0.07440587950253236,0.7371553325948247,50.158238599639894,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635121,587,5759,Kinnakorai,1607.4081450653982,27.16847668636226,104.94122713804245,3,0.6689695674041563,0.9229609451929467,0.7959652562985515,0.0471601284031311,0.36857766629741234,38.95963076400986,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
